Date,HR,PGE,SCE,SDGE,VEA,CAISO
1/9/2021,7,10034.86,9964.81,2057.98,98.23,22155.87
1/9/2021,8,10499.86,10081.43,2165.08,97.40,22843.77
1/9/2021,9,10552.35,10027.19,1988.90,89.53,22657.97
1/9/2021,10,10199.76,9868.45,1868.86,83.16,22020.23
1/9/2021,11,9756.40,9596.36,1713.00,75.03,21140.78
1/9/2021,12,9317.47,9294.99,1598.17,69.03,20279.66
1/9/2021,13,9150.71,9163.28,1580.72,63.58,19958.29
1/9/2021,14,9085.02,9123.73,1605.18,60.39,19874.31
1/9/2021,15,9258.72,9225.29,1749.06,59.77,20292.84
1/9/2021,16,9852.84,9625.16,1951.80,60.91,21490.72
1/9/2021,17,10679.74,10156.52,2228.07,68.41,23132.73
1/9/2021,18,11767.97,11211.46,2534.63,77.36,25591.42
1/9/2021,19,12060.77,11436.86,2528.55,78.61,26104.78
1/9/2021,20,11821.65,11352.71,2468.44,80.00,25722.80
1/9/2021,21,11535.21,11201.55,2395.73,81.06,25213.55
1/9/2021,22,11141.33,10832.04,2290.85,80.65,24344.87
1/9/2021,23,10518.99,10366.48,2148.51,79.82,23113.81
1/9/2021,24,9901.02,9857.25,2007.35,80.02,21845.65
1/10/2021,1,9573.14,9449.07,1929.28,81.67,21033.15
1/10/2021,2,9272.27,9106.48,1855.11,85.22,20319.08
1/10/2021,3,9068.85,8918.70,1810.49,87.67,19885.72
1/10/2021,4,9005.70,8842.53,1788.26,90.45,19726.94
1/10/2021,5,9069.37,8876.13,1801.60,94.59,19841.70
1/10/2021,6,9285.06,9030.70,1855.69,102.07,20273.53
1/10/2021,7,9639.46,9376.25,1948.03,109.12,21072.87
1/10/2021,8,9985.27,9375.06,1981.14,111.00,21452.47
1/10/2021,9,10013.71,9223.09,1893.03,103.21,21233.04
1/10/2021,10,9801.07,8977.09,1760.18,89.62,20627.96
1/10/2021,11,9547.21,8772.21,1594.08,77.94,19991.44
1/10/2021,12,9238.88,8869.43,1495.25,68.47,19672.03
1/10/2021,13,9134.09,9038.49,1528.32,62.24,19763.13
1/10/2021,14,8975.53,8927.19,1674.34,58.46,19635.52
1/10/2021,15,9250.65,8881.41,1893.03,57.08,20082.17
1/10/2021,16,9871.86,9257.05,2066.08,57.57,21252.57
1/10/2021,17,10745.21,9862.00,2291.27,64.95,22963.44
1/10/2021,18,11882.28,11061.56,2573.84,76.30,25593.98
1/10/2021,19,12092.91,11236.92,2561.90,79.74,25971.47
1/10/2021,20,11826.98,11106.38,2494.95,81.85,25510.16
1/10/2021,21,11475.72,10914.83,2433.11,83.74,24907.40
1/10/2021,22,11042.10,10644.29,2298.12,83.63,24068.14
1/10/2021,23,10311.24,10168.28,2134.70,82.11,22696.33
1/10/2021,24,9621.40,9633.52,1984.17,81.62,21320.71
1/11/2021,1,9181.51,9270.10,1910.49,84.98,20447.07
1/11/2021,2,8908.08,9016.16,1852.70,87.05,19864.00
1/11/2021,3,8810.25,8936.63,1816.86,90.41,19654.14
1/11/2021,4,8859.62,8972.07,1816.67,94.19,19742.54
1/11/2021,5,9233.38,9301.98,1874.20,100.44,20510.00
