Date,HR,PGE,SCE,SDGE,VEA,CAISO Total,
4/8/2020,23,10112.8463161892,10288.3238997396,2004.37749891493,59.5746852938334,22486.6294829644,
4/8/2020,24,9457.80589735243,9555.03646158854,1869.96240871853,57.7710440222422,20960.7901416016,
4/9/2020,1,8925.29608289931,9061.79200954861,1776.64651028103,57.0073604488373,19839.2112695313,
4/9/2020,2,8837.89225043403,8692.36125217014,1737.24747870551,57.0204603979323,19343.0650509983,
4/9/2020,3,8740.47199652778,8486.9038530816,1690.96729207357,57.4847808894806,18994.682163875,
4/9/2020,4,8684.96594401042,8463.43477864583,1667.08667792426,59.3077148660024,18892.5186187066,
4/9/2020,5,8824.18335069444,8644.59728732639,1658.36290283203,63.1405164517297,19205.3070903863,
4/9/2020,6,9287.44534613715,9100.36080512153,1752.97186455621,68.8846131070455,20230.2872325304,
4/9/2020,7,9890.16627170139,9682.66839518229,1888.9036452908,76.5599480734931,21565.1097938368,
4/9/2020,8,10051.6601746962,10007.2424316406,1969.78622829861,75.9068503888448,22141.8890999349,
4/9/2020,9,10314.9235644531,10378.0531911892,1934.5896081543,70.861423602634,22731.0325428602,
4/9/2020,10,10417.2848046875,10668.4620594618,1889.24108846029,64.4938682165989,23053.8763693576,
4/9/2020,11,10155.5362055122,10800.828421224,1996.66769639757,58.1431366040972,23024.6553990343,
4/9/2020,12,9877.44226236979,10931.510093316,2019.00918891059,52.8967729812198,22898.4280086263,
4/9/2020,13,9659.87603841146,11000.3981391059,1930.18244818793,49.3145590771569,22652.3308921983,
4/9/2020,14,9349.43753363715,11026.7737380642,2030.16735026042,46.9109263303545,22481.1427682834,
4/9/2020,15,9138.92236111111,10877.527062717,1885.2007288954,46.2805561351776,21987.8975783963,
4/9/2020,16,9198.80129882812,10833.3437510851,2064.33521335178,47.9496386316088,22193.7146847873,
4/9/2020,17,9305.28840277778,10763.3605588108,2116.16773111979,48.6947106160058,22275.6057150608,
4/9/2020,18,9778.93213650174,10870.28109375,2272.03035400391,50.7343156549666,23014.8351182726,
4/9/2020,19,10222.8403667535,11056.0183637153,2379.29368570964,55.5856403572264,23749.9546468099,
4/9/2020,20,10654.8875998264,11419.7942990451,2432.37050564236,59.3684813510047,24597.415766059,
4/9/2020,21,10774.4299457465,11278.6119986979,2372.49894341363,58.9026873970032,24517.831625434,
4/9/2020,22,10409.5667046441,10890.4065559896,2219.49478786892,57.418371070226,23613.759656033,
4/9/2020,23,9872.07060872396,10210.4066438802,2056.23491767036,55.4414465840658,22230.0038161892,
4/9/2020,24,9259.91560438368,9507.566796875,1905.96452541775,53.5391916953193,20758.925327691,
4/10/2020,1,9150.56505099826,9006.54153645833,1783.78806518555,52.31719183392,20026.6432969835,
4/10/2020,2,8888.60210177951,8644.10308485243,1701.35200263129,51.6433284123739,19318.6439268663,
4/10/2020,3,8663.99376844618,8414.76755533854,1654.1835422092,51.2815791023689,18817.1568156452,
4/10/2020,4,8594.37192057292,8309.10638671875,1631.73421346029,52.623606212404,18619.397671441,
4/10/2020,5,8703.36179578993,8429.62849717882,1657.14527615017,55.5352321285672,18874.7339903429,
4/10/2020,6,9117.77826388889,8818.07337673611,1738.43648546007,59.9863221094343,19761.895015191,
